X,colout,Sdepth,UTMX,UTMY
44331,5.67,5,403000,4132000
44333,5.73,6,403000,4132000
44335,5.66,7,403000,4132000
44337,5.67,8,403000,4132000
44339,5.71,9,403000,4132000
44340,7.87,0,404000,4132000
44342,7.67,1,404000,4132000
44344,7.11,2,404000,4132000
44346,6.07,3,404000,4132000
44348,5.37,4,404000,4132000
44350,5.67,5,404000,4132000
44352,5.74,6,404000,4132000
44354,5.67,7,404000,4132000
44356,5.67,8,404000,4132000
44358,5.71,9,404000,4132000
44188,7.92,0,404000,4133000
44189,7.88,0.5,404000,4133000
44190,7.71,1,404000,4133000
44191,7.45,1.5,404000,4133000
44192,7.13,2,404000,4133000
44193,6.68,2.5,404000,4133000
44194,6.03,3,404000,4133000
44195,5.47,3.5,404000,4133000
44196,5.3,4,404000,4133000
44197,5.27,4.5,404000,4133000
44198,5.58,5,404000,4133000
44199,5.54,5.5,404000,4133000
44200,5.6,6,404000,4133000
44201,5.53,6.5,404000,4133000
44202,5.53,7,404000,4133000
44203,5.52,7.5,404000,4133000
44204,5.53,8,404000,4133000
44205,5.56,8.5,404000,4133000
44206,5.57,9,404000,4133000
44033,7.97,0,404000,4134000
44034,7.93,0.5,404000,4134000
44035,7.75,1,404000,4134000
44036,7.48,1.5,404000,4134000
44037,7.14,2,404000,4134000
44038,6.68,2.5,404000,4134000
44039,6,3,404000,4134000
44040,5.42,3.5,404000,4134000
44041,5.24,4,404000,4134000
44042,5.22,4.5,404000,4134000
44043,5.46,5,404000,4134000
44044,5.43,5.5,404000,4134000
44045,5.43,6,404000,4134000
44046,5.4,6.5,404000,4134000
44047,5.41,7,404000,4134000
44048,5.39,7.5,404000,4134000
44049,5.4,8,404000,4134000
44050,5.44,8.5,404000,4134000
44051,5.45,9,404000,4134000
43871,8,0,404000,4135000
43872,7.96,0.5,404000,4135000
43873,7.78,1,404000,4135000
43874,7.52,1.5,404000,4135000
43875,7.17,2,404000,4135000
43876,6.68,2.5,404000,4135000
43877,5.99,3,404000,4135000
43878,5.4,3.5,404000,4135000
43879,5.22,4,404000,4135000
43880,5.19,4.5,404000,4135000
43881,5.4,5,404000,4135000
43882,5.37,5.5,404000,4135000
43883,5.33,6,404000,4135000
43884,5.3,6.5,404000,4135000
43885,5.3,7,404000,4135000
43886,5.29,7.5,404000,4135000
43887,5.29,8,404000,4135000
43888,5.33,8.5,404000,4135000
43711,8.1,0,404000,4136000
43712,8.05,0.5,404000,4136000
43713,7.88,1,404000,4136000
43714,7.6,1.5,404000,4136000
43715,7.22,2,404000,4136000
43716,6.71,2.5,404000,4136000
43717,5.97,3,404000,4136000
43718,5.3,3.5,404000,4136000
43719,5.06,4,404000,4136000
43720,5.18,4.5,404000,4136000
43721,5.36,5,404000,4136000
43722,5.32,5.5,404000,4136000
43723,5.26,6,404000,4136000
43724,5.22,6.5,404000,4136000
43725,5.22,7,404000,4136000
43726,5.2,7.5,404000,4136000
43727,5.2,8,404000,4136000
43568,8.09,0,405000,4137000
43569,8.05,0.5,405000,4137000
43570,7.86,1,405000,4137000
43571,7.57,1.5,405000,4137000
43572,7.19,2,405000,4137000
43573,6.66,2.5,405000,4137000
43574,6,3,405000,4137000
43575,5.4,3.5,405000,4137000
43576,5.15,4,405000,4137000
43577,5.23,4.5,405000,4137000
43578,5.29,5,405000,4137000
